,品名,型号,壁厚/mm,长度/mm,支重/kg,支/件,材质,执行标准,品牌/厂家,提货地,理计,过磅,备注（可随意改动）,库存,供应商/联系方式（后台可见，每日更新价格时可选最低价供应商）,供货价/元,差价/元
管材,无缝管,325,6000,77.68,,,,,,,,,,,,,
管材,无缝管,377,6000,81.68,,,,,,,,,,,,,
管材,无缝管,377,6000,90.51,,,,,,,,,,,,,
管材,无缝管,426,6000,102.59,,,,,,,,,,,,,
管材,无缝管,426,6000,112.58,,,,,,,,,,,,,
管材,直缝焊管,76,6000,,,,,,,,,,,,,,
管材,直缝焊管,102,6000,,,,,,,,,,,,,,
管材,直缝焊管,102,6000,,,,,,,,,,,,,,
管材,直缝焊管,102,6000,,,,,,,,,,,,,,
管材,直缝焊管,102,6000,,,,,,,,,,,,,,
管材,直缝焊管,102,6000,,,,,,,,,,,,,,
管材,直缝焊管,102,6000,,,,,,,,,,,,,,
管材,直缝焊管,102,6000,,,,,,,,,,,,,,
管材,直缝焊管,102,6000,,,,,,,,,,,,,,
管材,直缝焊管,108,6000,,,,,,,,,,,,,,
管材,直缝焊管,108,6000,,,,,,,,,,,,,,
管材,直缝焊管,108,6000,,,,,,,,,,,,,,
管材,直缝焊管,108,6000,,,,,,,,,,,,,,
管材,直缝焊管,108,6000,,,,,,,,,,,,,,
管材,直缝焊管,108,6000,,,,,,,,,,,,,,
管材,直缝焊管,108,6000,,,,,,,,,,,,,,
管材,直缝焊管,108,6000,,,,,,,,,,,,,,
管材,直缝焊管,108,6000,,,,,,,,,,,,,,
管材,直缝焊管,108,6000,,,,,,,,,,,,,,
管材,直缝焊管,108,6000,,,,,,,,,,,,,,
管材,直缝焊管,121,6000,,,,,,,,,,,,,,
管材,直缝焊管,121,6000,,,,,,,,,,,,,,
管材,直缝焊管,121,6000,,,,,,,,,,,,,,
管材,直缝焊管,121,6000,,,,,,,,,,,,,,
管材,直缝焊管,121,6000,,,,,,,,,,,,,,
管材,直缝焊管,121,6000,,,,,,,,,,,,,,
管材,直缝焊管,121,6000,,,,,,,,,,,,,,
管材,直缝焊管,127,6000,,,,,,,,,,,,,,
管材,直缝焊管,127,6000,,,,,,,,,,,,,,
管材,直缝焊管,127,6000,,,,,,,,,,,,,,
管材,直缝焊管,127,6000,,,,,,,,,,,,,,
管材,直缝焊管,127,6000,,,,,,,,,,,,,,
管材,直缝焊管,127,6000,,,,,,,,,,,,,,
管材,直缝焊管,127,6000,,,,,,,,,,,,,,
管材,直缝焊管,127,6000,,,,,,,,,,,,,,
管材,直缝焊管,127,6000,,,,,,,,,,,,,,
管材,直缝焊管,127,6000,,,,,,,,,,,,,,
管材,直缝焊管,133,6000,,,,,,,,,,,,,,
管材,直缝焊管,133,6000,,,,,,,,,,,,,,
管材,直缝焊管,133,6000,,,,,,,,,,,,,,
管材,直缝焊管,133,6000,,,,,,,,,,,,,,
管材,直缝焊管,133,6000,,,,,,,,,,,,,,
管材,直缝焊管,133,6000,,,,,,,,,,,,,,
管材,直缝焊管,133,6000,,,,,,,,,,,,,,
管材,直缝焊管,133,6000,,,,,,,,,,,,,,
管材,直缝焊管,133,6000,,,,,,,,,,,,,,
管材,直缝焊管,133,6000,,,,,,,,,,,,,,
管材,直缝焊管,168,6000,,,,,,,,,,,,,,
管材,直缝焊管,168,6000,,,,,,,,,,,,,,
管材,直缝焊管,168,6000,,,,,,,,,,,,,,
管材,直缝焊管,168,6000,,,,,,,,,,,,,,
管材,直缝焊管,168,6000,,,,,,,,,,,,,,
管材,直缝焊管,168,6000,,,,,,,,,,,,,,
管材,直缝焊管,168,6000,,,,,,,,,,,,,,
管材,直缝焊管,168,6000,,,,,,,,,,,,,,
管材,直缝焊管,194,6000,,,,,,,,,,,,,,
管材,直缝焊管,194,6000,,,,,,,,,,,,,,
管材,直缝焊管,194,6000,,,,,,,,,,,,,,
管材,直缝焊管,194,6000,,,,,,,,,,,,,,
管材,直缝焊管,194,6000,,,,,,,,,,,,,,
管材,直缝焊管,194,6000,,,,,,,,,,,,,,
管材,直缝焊管,194,6000,,,,,,,,,,,,,,
管材,直缝焊管,194,6000,,,,,,,,,,,,,,
管材,直缝焊管,152,6000,,,,,,,,,,,,,,
管材,直缝焊管,152,6000,,,,,,,,,,,,,,
管材,直缝焊管,152,6000,,,,,,,,,,,,,,
管材,直缝焊管,152,6000,,,,,,,,,,,,,,
管材,直缝焊管,159,6000,,,,,,,,,,,,,,
管材,直缝焊管,159,6000,,,,,,,,,,,,,,
管材,直缝焊管,159,6000,,,,,,,,,,,,,,
管材,直缝焊管,159,6000,,,,,,,,,,,,,,
管材,直缝焊管,159,6000,,,,,,,,,,,,,,
管材,直缝焊管,159,6000,,,,,,,,,,,,,,
管材,直缝焊管,159,6000,,,,,,,,,,,,,,
管材,直缝焊管,159,6000,,,,,,,,,,,,,,
管材,直缝焊管,159,6000,,,,,,,,,,,,,,
管材,直缝焊管,159,6000,,,,,,,,,,,,,,
管材,直缝焊管,159,6000,,,,,,,,,,,,,,
管材,直缝焊管,180,6000,,,,,,,,,,,,,,
管材,直缝焊管,180,6000,,,,,,,,,,,,,,
管材,直缝焊管,180,6000,,,,,,,,,,,,,,
管材,直缝焊管,180,6000,,,,,,,,,,,,,,
管材,直缝焊管,180,6000,,,,,,,,,,,,,,
管材,直缝焊管,180,6000,,,,,,,,,,,,,,
管材,直缝焊管,180,6000,,,,,,,,,,,,,,
管材,直缝焊管,180,6000,,,,,,,,,,,,,,
管材,直缝焊管,180,6000,,,,,,,,,,,,,,
管材,直缝焊管,180,6000,,,,,,,,,,,,,,
管材,直缝焊管,237,6000,,,,,,,,,,,,,,
管材,直缝焊管,237,6000,,,,,,,,,,,,,,
管材,直缝焊管,237,6000,,,,,,,,,,,,,,
管材,直缝焊管,237,6000,,,,,,,,,,,,,,
管材,直缝焊管,237,6000,,,,,,,,,,,,,,
管材,直缝焊管,237,6000,,,,,,,,,,,,,,
管材,直缝焊管,237,6000,,,,,,,,,,,,,,
管材,直缝焊管,237,6000,,,,,,,,,,,,,,
管材,直缝焊管,237,6000,,,,,,,,,,,,,,
管材,直缝焊管,237,6000,,,,,,,,,,,,,,
管材,直缝焊管,237,6000,,,,,,,,,,,,,,
管材,直缝焊管,237,6000,,,,,,,,,,,,,,
管材,直缝焊管,237,6000,,,,,,,,,,,,,,
管材,直缝焊管,237,6000,,,,,,,,,,,,,,
管材,直缝焊管,237,6000,,,,,,,,,,,,,,
管材,直缝焊管,237,6000,,,,,,,,,,,,,,
管材,直缝焊管,237,6000,,,,,,,,,,,,,,
管材,直缝焊管,237,6000,,,,,,,,,,,,,,
管材,直缝焊管,325,6000,,,,,,,,,,,,,,
管材,直缝焊管,325,6000,,,,,,,,,,,,,,
管材,直缝焊管,325,6000,,,,,,,,,,,,,,
管材,直缝焊管,325,6000,,,,,,,,,,,,,,
管材,直缝焊管,325,6000,,,,,,,,,,,,,,
管材,直缝焊管,325,6000,,,,,,,,,,,,,,
管材,直缝焊管,325,6000,,,,,,,,,,,,,,
管材,直缝焊管,325,6000,,,,,,,,,,,,,,
管材,直缝焊管,325,6000,,,,,,,,,,,,,,
管材,直缝焊管,325,6000,,,,,,,,,,,,,,
管材,直缝焊管,325,6000,,,,,,,,,,,,,,
管材,直缝焊管,325,6000,,,,,,,,,,,,,,
管材,直缝焊管,325,6000,,,,,,,,,,,,,,
管材,直缝焊管,325,6000,,,,,,,,,,,,,,
管材,直缝焊管,325,6000,,,,,,,,,,,,,,
管材,直缝焊管,325,6000,,,,,,,,,,,,,,
管材,直缝焊管,325,6000,,,,,,,,,,,,,,
管材,直缝焊管,377,6000,,,,,,,,,,,,,,
管材,直缝焊管,377,6000,,,,,,,,,,,,,,
管材,直缝焊管,377,6000,,,,,,,,,,,,,,
管材,直缝焊管,377,6000,,,,,,,,,,,,,,
管材,直缝焊管,377,6000,,,,,,,,,,,,,,
管材,直缝焊管,377,6000,,,,,,,,,,,,,,
管材,直缝焊管,377,6000,,,,,,,,,,,,,,
管材,直缝焊管,377,6000,,,,,,,,,,,,,,
管材,直缝焊管,426,6000,,,,,,,,,,,,,,
管材,直缝焊管,426,6000,,,,,,,,,,,,,,
管材,直缝焊管,426,6000,,,,,,,,,,,,,,
管材,直缝焊管,426,6000,,,,,,,,,,,,,,
管材,直缝焊管,426,6000,,,,,,,,,,,,,,
,镀锌螺旋管,,,,,,,,,,,,,,,,
,镀锌无缝管,,,,,,,,,,,,,,,,
管材,热镀锌直缝管,273,2,,,,,,,,,,,,,,
管材,焊管,4分,1.3,,,,,,,,,,,,,,
管材,焊管,4分,1.2,,,,,,,,,,,,,,
管材,焊管,4分,1.3,,,,,,,,,,,,,,
管材,焊管,4分,1.5,,,,,,,,,,,,,,
管材,焊管,4分,1.7,,,,,,,,,,,,,,
管材,焊管,4分,1.8,,,,,,,,,,,,,,
管材,焊管,4分,1.9,,,,,,,,,,,,,,
管材,焊管,4分,2,,,,,,,,,,,,,,
管材,焊管,4分,2.1,,,,,,,,,,,,,,
管材,焊管,4分,2.2,,,,,,,,,,,,,,
管材,焊管,4分,2.5,,,,,,,,,,,,,,
管材,焊管,4分,2.75,,,,,,,,,,,,,,
管材,焊管,4分,3,,,,,,,,,,,,,,
管材,焊管,6分,1.3,,,,,,,,,,,,,,
管材,焊管,6分,1.5,,,,,,,,,,,,,,
管材,焊管,6分,1.7,,,,,,,,,,,,,,
管材,焊管,6分,1.8,,,,,,,,,,,,,,
管材,焊管,6分,1.9,,,,,,,,,,,,,,
管材,焊管,6分,2,,,,,,,,,,,,,,
管材,焊管,6分,2.1,,,,,,,,,,,,,,
管材,焊管,6分,2.2,,,,,,,,,,,,,,
管材,焊管,6分,2.5,,,,,,,,,,,,,,
管材,焊管,6分,2.75,,,,,,,,,,,,,,
管材,焊管,6分,3,,,,,,,,,,,,,,
管材,焊管,1寸,1,,,,,,,,,,,,,,
管材,焊管,1寸,1.1,,,,,,,,,,,,,,
管材,焊管,1寸,1.2,,,,,,,,,,,,,,
管材,焊管,1寸,1.3,,,,,,,,,,,,,,
管材,焊管,1寸,1.4,,,,,,,,,,,,,,
管材,焊管,1寸,1.5,,,,,,,,,,,,,,
管材,焊管,1寸,1.6,,,,,,,,,,,,,,
管材,焊管,1寸,1.7,,,,,,,,,,,,,,
管材,焊管,1寸,1.8,,,,,,,,,,,,,,
管材,焊管,1寸,1.9,,,,,,,,,,,,,,
管材,焊管,1寸,2,,,,,,,,,,,,,,
管材,焊管,1寸,2.2,,,,,,,,,,,,,,
管材,焊管,1寸,2.5,,,,,,,,,,,,,,
管材,焊管,1寸,2.75,,,,,,,,,,,,,,
管材,焊管,1寸,3,,,,,,,,,,,,,,
管材,焊管,1寸,3.25,,,,,,,,,,,,,,
管材,焊管,1寸,3.5,,,,,,,,,,,,,,
管材,焊管,1寸,3.75,,,,,,,,,,,,,,
管材,焊管,1寸,4,,,,,,,,,,,,,,
管材,焊管,1.2寸,1,,,,,,,,,,,,,,
管材,焊管,1.2寸,1.1,,,,,,,,,,,,,,
管材,焊管,1.2寸,1.2,,,,,,,,,,,,,,
管材,焊管,1.2寸,1.3,,,,,,,,,,,,,,
管材,焊管,1.2寸,1.4,,,,,,,,,,,,,,
管材,焊管,1.2寸,1.5,,,,,,,,,,,,,,
管材,焊管,1.2寸,1.6,,,,,,,,,,,,,,
管材,焊管,1.2寸,1.7,,,,,,,,,,,,,,
管材,焊管,1.2寸,1.8,,,,,,,,,,,,,,
管材,焊管,1.2寸,2,,,,,,,,,,,,,,
管材,焊管,1.2寸,2.2,,,,,,,,,,,,,,
管材,焊管,1.2寸,2.5,,,,,,,,,,,,,,
管材,焊管,1.2寸,2.75,,,,,,,,,,,,,,
管材,焊管,1.2寸,3,,,,,,,,,,,,,,
管材,焊管,1.2寸,3.25,,,,,,,,,,,,,,
管材,焊管,1.2寸,3.5,,,,,,,,,,,,,,
管材,焊管,1.2寸,3.75,,,,,,,,,,,,,,
管材,焊管,1.2寸,4,,,,,,,,,,,,,,
管材,焊管,1.5寸,1,,,,,,,,,,,,,,
管材,焊管,1.5寸,1.1,,,,,,,,,,,,,,
管材,焊管,1.5寸,1.2,,,,,,,,,,,,,,
管材,焊管,1.5寸,1.3,,,,,,,,,,,,,,
管材,焊管,1.5寸,1.4,,,,,,,,,,,,,,
管材,焊管,1.5寸,1.5,,,,,,,,,,,,,,
管材,焊管,1.5寸,1.6,,,,,,,,,,,,,,
管材,焊管,1.5寸,1.7,,,,,,,,,,,,,,
管材,焊管,1.5寸,1.8,,,,,,,,,,,,,,
管材,焊管,1.5寸,1.9,,,,,,,,,,,,,,
管材,焊管,1.5寸,2,,,,,,,,,,,,,,
管材,焊管,1.5寸,2.2,,,,,,,,,,,,,,
管材,焊管,1.5寸,2.5,,,,,,,,,,,,,,
管材,焊管,1.5寸,2.75,,,,,,,,,,,,,,
管材,焊管,1.5寸,3,,,,,,,,,,,,,,
管材,焊管,1.5寸,3.25,,,,,,,,,,,,,,
管材,焊管,1.5寸,3.5,,,,,,,,,,,,,,
管材,焊管,1.5寸,3.75,,,,,,,,,,,,,,
管材,焊管,1.5寸,4,,,,,,,,,,,,,,
管材,焊管,2寸,1,,,,,,,,,,,,,,
管材,焊管,2寸,1.1,,,,,,,,,,,,,,
管材,焊管,2寸,1.2,,,,,,,,,,,,,,
管材,焊管,2寸,1.3,,,,,,,,,,,,,,
管材,焊管,2寸,1.4,,,,,,,,,,,,,,
管材,焊管,2寸,1.5,,,,,,,,,,,,,,
管材,焊管,2寸,1.6,,,,,,,,,,,,,,
管材,焊管,2寸,1.7,,,,,,,,,,,,,,
管材,焊管,2寸,1.8,,,,,,,,,,,,,,
管材,焊管,2寸,2,,,,,,,,,,,,,,
管材,焊管,2寸,2.5,,,,,,,,,,,,,,
管材,焊管,2寸,2.75,,,,,,,,,,,,,,
管材,焊管,2寸,3,,,,,,,,,,,,,,
管材,焊管,2寸,3.25,,,,,,,,,,,,,,
管材,焊管,2寸,3.5,,,,,,,,,,,,,,
管材,焊管,2寸,3.75,,,,,,,,,,,,,,
管材,焊管,2寸,4,,,,,,,,,,,,,,
管材,焊管,2寸,4.5,,,,,,,,,,,,,,
管材,焊管,2.5寸,1.5,,,,,,,,,,,,,,
管材,焊管,2.5寸,1.6,,,,,,,,,,,,,,
管材,焊管,2.5寸,1.7,,,,,,,,,,,,,,
管材,焊管,2.5寸,1.8,,,,,,,,,,,,,,
管材,焊管,2.5寸,2.5,,,,,,,,,,,,,,
管材,焊管,2.5寸,2.75,,,,,,,,,,,,,,
管材,焊管,2.5寸,3,,,,,,,,,,,,,,
管材,焊管,2.5寸,3.25,,,,,,,,,,,,,,
管材,焊管,2.5寸,3.5,,,,,,,,,,,,,,
管材,焊管,2.5寸,3.75,,,,,,,,,,,,,,
管材,焊管,2.5寸,4,,,,,,,,,,,,,,
管材,焊管,2.5寸,4.25,,,,,,,,,,,,,,
管材,焊管,2.5寸,4.5,,,,,,,,,,,,,,
管材,焊管,3寸,1,,,,,,,,,,,,,,
管材,焊管,3寸,1.1,,,,,,,,,,,,,,
管材,镀锌带圆管,4分,0.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,4分,0.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,4分,0.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,4分,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,4分,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,4分,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,4分,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,4分,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,4分,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,4分,1.6,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,4分,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,4分,1.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,4分,1.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,4分,2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,4分,2.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,4分,2.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,4分,2.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,4分,2.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,4分,3,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,6分,0.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,6分,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,6分,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,6分,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,6分,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,6分,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,6分,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,6分,1.6,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,6分,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,6分,1.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,6分,1.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,6分,2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,6分,2.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,6分,2.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,6分,2.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,6分,2.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,6分,3,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1寸,0.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1寸,0.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1寸,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1寸,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1寸,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1寸,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1寸,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1寸,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1寸,1.6,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1寸,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1寸,1.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1寸,1.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1寸,2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1寸,2.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1寸,2.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1寸,2.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1寸,2.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1寸,3,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,0.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,0.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,2.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,2.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,2.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,2.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,3,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,3.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,3.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,3.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.2寸,4,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,0.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,0.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,1.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,2.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,2.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,2.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,2.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,3,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,3.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,3.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,3.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,1.5寸,4,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,0.9,6000,#REF!,,,,,,,,,,,,
